embedding,embedding_size,regressor,hyperparams,seed,accuracy,tpr,tnr,precision,recall,g_mean,tn,fp,fn,tp
mxbai,64,logistic_regression,max_iter-100,823,0.9305,0.9340,0.9270,0.9275,0.9340,0.9305,4635,365,330,4670
mxbai,64,logistic_regression,max_iter-500,823,0.9305,0.9340,0.9270,0.9275,0.9340,0.9305,4635,365,330,4670
mxbai,64,random_forest,n_estimators-80,823,0.9439,0.9536,0.9342,0.9355,0.9536,0.9439,4671,329,232,4768
mxbai,64,random_forest,n_estimators-80,950,0.9440,0.9516,0.9364,0.9374,0.9516,0.9440,4682,318,242,4758
mxbai,64,random_forest,n_estimators-80,686,0.9438,0.9520,0.9356,0.9366,0.9520,0.9438,4678,322,240,4760
mxbai,64,random_forest,n_estimators-80,319,0.9435,0.9520,0.9350,0.9361,0.9520,0.9435,4675,325,240,4760
mxbai,64,random_forest,n_estimators-80,84,0.9442,0.9546,0.9338,0.9351,0.9546,0.9441,4669,331,227,4773
mxbai,64,random_forest,n_estimators-100,823,0.9446,0.9552,0.9340,0.9354,0.9552,0.9445,4670,330,224,4776
mxbai,64,random_forest,n_estimators-100,950,0.9424,0.9512,0.9336,0.9347,0.9512,0.9424,4668,332,244,4756
mxbai,64,random_forest,n_estimators-100,686,0.9449,0.9542,0.9356,0.9368,0.9542,0.9449,4678,322,229,4771
mxbai,64,random_forest,n_estimators-100,319,0.9456,0.9536,0.9376,0.9386,0.9536,0.9456,4688,312,232,4768
mxbai,64,random_forest,n_estimators-100,84,0.9442,0.9540,0.9344,0.9357,0.9540,0.9441,4672,328,230,4770
mxbai,64,random_forest,n_estimators-200,823,0.9450,0.9564,0.9336,0.9351,0.9564,0.9449,4668,332,218,4782
mxbai,64,random_forest,n_estimators-200,950,0.9451,0.9572,0.9330,0.9346,0.9572,0.9450,4665,335,214,4786
mxbai,64,random_forest,n_estimators-200,686,0.9470,0.9570,0.9370,0.9382,0.9570,0.9469,4685,315,215,4785
mxbai,64,random_forest,n_estimators-200,319,0.9464,0.9568,0.9360,0.9373,0.9568,0.9463,4680,320,216,4784
mxbai,64,random_forest,n_estimators-200,84,0.9464,0.9582,0.9346,0.9361,0.9582,0.9463,4673,327,209,4791
mxbai,64,naive_bayes,none-n,823,0.9103,0.9282,0.8924,0.8961,0.9282,0.9101,4462,538,359,4641
mxbai,64,naive_bayes,none-o,823,0.9103,0.9282,0.8924,0.8961,0.9282,0.9101,4462,538,359,4641
mxbai,64,naive_bayes,none-n,823,0.9103,0.9282,0.8924,0.8961,0.9282,0.9101,4462,538,359,4641
mxbai,64,naive_bayes,none-e,823,0.9103,0.9282,0.8924,0.8961,0.9282,0.9101,4462,538,359,4641
mxbai,64,mlp,num_layers-2_dropout-0.1,823,0.9413,0.9434,0.9392,0.9395,0.9434,0.9413,4696,304,283,4717
mxbai,64,mlp,num_layers-2_dropout-0.1,950,0.9420,0.9504,0.9336,0.9347,0.9504,0.9420,4668,332,248,4752
mxbai,64,mlp,num_layers-2_dropout-0.1,686,0.9421,0.9460,0.9382,0.9387,0.9460,0.9421,4691,309,270,4730
mxbai,64,mlp,num_layers-2_dropout-0.1,319,0.9433,0.9494,0.9372,0.9380,0.9494,0.9433,4686,314,253,4747
mxbai,64,mlp,num_layers-2_dropout-0.1,84,0.9426,0.9478,0.9374,0.9380,0.9478,0.9426,4687,313,261,4739
mxbai,64,mlp,num_layers-2_dropout-0.2,823,0.9406,0.9440,0.9372,0.9376,0.9440,0.9406,4686,314,280,4720
mxbai,64,mlp,num_layers-2_dropout-0.2,950,0.9420,0.9502,0.9338,0.9349,0.9502,0.9420,4669,331,249,4751
mxbai,64,mlp,num_layers-2_dropout-0.2,686,0.9408,0.9450,0.9366,0.9371,0.9450,0.9408,4683,317,275,4725
mxbai,64,mlp,num_layers-2_dropout-0.2,319,0.9438,0.9502,0.9374,0.9382,0.9502,0.9438,4687,313,249,4751
mxbai,64,mlp,num_layers-2_dropout-0.2,84,0.9417,0.9472,0.9362,0.9369,0.9472,0.9417,4681,319,264,4736
mxbai,64,mlp,num_layers-2_dropout-0.3,823,0.9404,0.9448,0.9360,0.9366,0.9448,0.9404,4680,320,276,4724
mxbai,64,mlp,num_layers-2_dropout-0.3,950,0.9418,0.9498,0.9338,0.9348,0.9498,0.9418,4669,331,251,4749
mxbai,64,mlp,num_layers-2_dropout-0.3,686,0.9403,0.9464,0.9342,0.9350,0.9464,0.9403,4671,329,268,4732
mxbai,64,mlp,num_layers-2_dropout-0.3,319,0.9427,0.9496,0.9358,0.9367,0.9496,0.9427,4679,321,252,4748
mxbai,64,mlp,num_layers-2_dropout-0.3,84,0.9401,0.9456,0.9346,0.9353,0.9456,0.9401,4673,327,272,4728
mxbai,64,mlp,num_layers-3_dropout-0.1,823,0.9604,0.9692,0.9516,0.9524,0.9692,0.9604,4758,242,154,4846
mxbai,64,mlp,num_layers-3_dropout-0.1,950,0.9586,0.9646,0.9526,0.9532,0.9646,0.9586,4763,237,177,4823
mxbai,64,mlp,num_layers-3_dropout-0.1,686,0.9604,0.9636,0.9572,0.9575,0.9636,0.9604,4786,214,182,4818
mxbai,64,mlp,num_layers-3_dropout-0.1,319,0.9587,0.9716,0.9458,0.9472,0.9716,0.9586,4729,271,142,4858
