model,k,O_TPR,O_TNR,O_ACC,O_GMEAN,M_TPR,M_TNR,M_ACC,M_GMEAN,D_ACC,D_GMEAN
nomic768,20,97.3,96.8,97.05,97.05,95.52,96.8,96.16,96.16,-0.92,-0.92
nomic768,30,97.98,97.72,97.85,97.85,95.78,97.72,96.75,96.75,-1.12,-1.12
nomic768,40,97.82,97.82,97.82,97.82,95.28,97.82,96.55,96.54,-1.3,-1.31
nomic768,50,97.94,98.0,97.97,97.97,95.46,98.0,96.73,96.72,-1.27,-1.28
nomic768,60,98.18,98.02,98.1,98.1,96.26,98.02,97.14,97.14,-0.98,-0.98
nomic768,70,97.98,98.26,98.12,98.12,96.26,98.26,97.26,97.25,-0.88,-0.89
nomic768,80,97.98,98.1,98.04,98.04,96.54,98.1,97.32,97.32,-0.73,-0.73
nomic768,90,97.96,98.28,98.12,98.12,96.5,98.28,97.39,97.39,-0.74,-0.74
nomic768,100,97.88,98.18,98.03,98.03,96.38,98.18,97.28,97.28,-0.77,-0.77
nomic768,125,98.04,98.44,98.24,98.24,96.44,98.44,97.44,97.43,-0.81,-0.82
nomic768,150,98.16,98.52,98.34,98.34,96.2,98.52,97.36,97.35,-1.0,-1.01
nomic768,175,98.22,98.48,98.35,98.35,96.02,98.48,97.25,97.24,-1.12,-1.13
nomic768,200,98.26,98.42,98.34,98.34,96.24,98.42,97.33,97.32,-1.03,-1.04
nomic768,250,98.42,98.76,98.59,98.59,96.06,98.76,97.41,97.4,-1.2,-1.21
nomic768,500,98.98,98.64,98.81,98.81,96.92,98.64,97.78,97.78,-1.04,-1.04
nomic768,1000,99.1,98.8,98.95,98.95,97.1,98.8,97.95,97.95,-1.01,-1.01
nomic768,2000,99.08,98.72,98.9,98.9,97.6,98.72,98.16,98.16,-0.75,-0.75
nomic768,5000,98.48,99.22,98.85,98.85,96.68,99.22,97.95,97.94,-0.91,-0.92
para,2,92.9,99.68,96.29,96.23,88.5,99.68,94.09,93.92,-2.28,-2.4
para,3,96.28,99.42,97.85,97.84,93.78,99.42,96.6,96.56,-1.28,-1.31
para,4,97.14,99.18,98.16,98.15,94.5,99.18,96.84,96.81,-1.34,-1.37
para,5,96.14,99.52,97.83,97.82,94.64,99.52,97.08,97.05,-0.77,-0.79
para,6,96.36,99.52,97.94,97.93,93.26,99.52,96.39,96.34,-1.58,-1.62
para,7,96.78,99.5,98.14,98.13,95.22,99.5,97.36,97.34,-0.79,-0.81
para,8,96.8,99.5,98.15,98.14,93.58,99.5,96.54,96.49,-1.64,-1.68
para,9,97.28,99.54,98.41,98.4,95.22,99.54,97.38,97.36,-1.05,-1.06
para,10,96.54,99.48,98.01,98.0,95.56,99.48,97.52,97.5,-0.5,-0.51
para,20,98.24,99.16,98.7,98.7,96.22,99.16,97.69,97.68,-1.02,-1.03
para,30,98.44,99.36,98.9,98.9,96.92,99.36,98.14,98.13,-0.77,-0.78
para,40,98.54,99.36,98.95,98.95,96.16,99.36,97.76,97.75,-1.2,-1.21
para,50,98.54,99.4,98.97,98.97,96.64,99.4,98.02,98.01,-0.96,-0.97
para,60,98.9,99.5,99.2,99.2,96.44,99.5,97.97,97.96,-1.24,-1.25
para,70,98.7,99.46,99.08,99.08,96.48,99.46,97.97,97.96,-1.12,-1.13
para,80,98.98,99.54,99.26,99.26,97.12,99.54,98.33,98.32,-0.94,-0.95
para,90,98.72,99.56,99.14,99.14,96.76,99.56,98.16,98.15,-0.99,-1.0
